Piso;h [cm];W [tonf];P [tonf];K [tonf/cm];Fy [tonf];as;ac;dc/dy;xi;d0;v0
1;548.6;535;428;80;1300;0.1282;-0.06;2.5;0.3098;0;0
2;365;494.5;395.6;200;2400;0.7;-0.08;1.5;0.2577;0;0
3;365;494.5;395.6;228;3000;0.2476;-0.09;1.538;0.1495;0;0
4;365;494.5;395.6;220;2580;0.1142;-0.06;2.222;0.0834;0;0
5;365;494.5;395.6;234;2400;0.2182;-0.07;2.222;0.0575;0;0
6;365;494.5;395.6;205;1700;0.2017;-0.06;2.75;0.0586;0;0
7;365;494.5;395.6;200;1750;0.1345;-0.06;3.125;0.04;0;0
8;365;494.5;395.6;120;1300;0.3905;-0.07;2.3;0.029;0;0
9;365;505;404;115;1200;0.3905;-0.07;2.3;0.0206;0;0
10;365;89.82;0;0.85;9000;0.6;-0.01;1;0.0158;0;0
